;tfidf_lemmatized;tfidf_stemmed;lemm_cbow_w2_d100;lemm_skip_w2_d100;lemm_cbow_w4_d100;lemm_skip_w4_d100;lemm_cbow_w2_d300;lemm_skip_w2_d300;lemm_cbow_w4_d300;lemm_skip_w4_d300;stem_cbow_w2_d100;stem_skip_w2_d100;stem_cbow_w4_d100;stem_skip_w4_d100;stem_cbow_w2_d300;stem_skip_w2_d300;stem_cbow_w4_d300;stem_skip_w4_d300
tfidf_lemmatized;1.0;0.25;0.67;0.67;0.67;0.67;0.67;0.43;0.43;0.43;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11
tfidf_stemmed;0.25;1.0;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67
lemm_cbow_w2_d100;0.67;0.25;1.0;1.0;1.0;1.0;0.67;0.67;0.67;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_skip_w2_d100;0.67;0.25;1.0;1.0;1.0;1.0;0.67;0.67;0.67;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_cbow_w4_d100;0.67;0.25;1.0;1.0;1.0;1.0;0.67;0.67;0.67;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_skip_w4_d100;0.67;0.25;1.0;1.0;1.0;1.0;0.67;0.67;0.67;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_cbow_w2_d300;0.67;0.25;0.67;0.67;0.67;0.67;1.0;0.67;0.67;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_skip_w2_d300;0.43;0.25;0.67;0.67;0.67;0.67;0.67;1.0;1.0;1.0;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_cbow_w4_d300;0.43;0.25;0.67;0.67;0.67;0.67;0.67;1.0;1.0;1.0;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
lemm_skip_w4_d300;0.43;0.25;0.67;0.67;0.67;0.67;0.67;1.0;1.0;1.0;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
stem_cbow_w2_d100;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_skip_w2_d100;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_cbow_w4_d100;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_skip_w4_d100;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_cbow_w2_d300;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_skip_w2_d300;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_cbow_w4_d300;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
stem_skip_w4_d300;0.11;0.67;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
